Name,Profile URL,Role,Sweet Spot,Investors
Jeff Clavier,file:///investors/jeff-clavier,Managing Partner,$1M,"Investors in Canada, Investors in SF Bay Area (CA), Investors in New York (NY), Investors in Boston / New England
+1"
Stephanie Palmeri,file:///investors/stephanie-palmeri,Partner,$900K,"Investors in Canada, Investors in San Francisco (CA), Investors in Los Angeles (CA), Investors in New York (NY), Investors in Boston (MA), Investors in Boulder (CO), Investors in Toronto (Ontario)
+4"
Dave Samuel,file:///investors/dave-samuel,Managing Partner,$1M,Investors in San Francisco (CA)
Satya Patel,file:///investors/satya-patel,Partner,$1M,"Investors in AgTech, Investors in E-commerce, Investors in Fintech, Investors in Human capital, Investors in Local commerce, Investors in Media/content, Investors in Retail, Investors in SaaS, Investors in Sales and CRM, Investors in San Francisco Bay Area (Other Lists), Investors in SMB software
+7"
Aileen Lee,file:///investors/aileen-lee,Managing Partner,$1.2M,"Investors in Denver (CO), Investors in San Diego (CA), Investors in Seattle (WA), Investors in New York (NY), Investors in San Francisco (CA), Investors in Palo Alto (CA)
+3"
Gigi Levy-Weiss,file:///investors/gigi-levy-weiss,General Partner,$1.5M,"Investors in Tel Aviv (Israel), Investors in Palo Alto (CA)"
Pete Flint,file:///investors/pete-flint,General Partner,$1.5M,"Investors in Chicago (IL), Investors in SF Bay Area (CA), Investors in New York (NY), Investors in London, Investors in Boston (MA)
+2"
Mike Maples,file:///investors/mike-maples,Partner,$900K,Investors in Palo Alto (CA)
Bill Trenchard,file:///investors/bill-trenchard,Partner,$3.0M,Investors in San Francisco (CA)
Hunter Walk,file:///investors/hunter-walk,Partner,$800K,Investors in San Francisco (CA)
Cyan Banister,file:///investors/cyan-banister,General Partner,$250K,Investors in SF Bay Area (CA)
Wayne Hu,file:///investors/wayne-hu,Partner,$1.5M,"Investors in Consumer health & fitness, Investors in E-commerce, Investors in Education, Investors in Fintech, Investors in Health & hospital services, Investors in Marketplaces, Investors in Media/content, Investors in SaaS, Investors in San Francisco Bay Area (Other Lists)
+6"
Vishal Vasishth,file:///investors/vishal-vasishth,Partner,$3.0M,Investors in San Francisco (CA)
